Robot: 2,,,
Comentarios: ,,,
"xmin, xmax, ymin, ymax","(0,47,0,39.1)",,
========================,,,
Checkpoint,Hora,Sensor,Valor
"CK:1 (6.7,17.6)",14:20:35,CO2 (PPM),457
"CK:1 (6.7,17.6)",14:20:35,TEMPERATURA (°C),34.12
"CK:1 (6.7,17.6)",14:20:35,HUMEDAD (%),29.46
"CK:1 (6.7,17.6)",14:20:35,IRRADIANCIA (W/M2),561.93
"CK:1 (6.7,17.6)",14:20:35,eCO2 (PPM),400
"CK:1 (6.7,17.6)",14:20:35,TVOC (PPB),0
"CK:1 (6.7,17.6)",14:20:45,CO2 (PPM),454
"CK:1 (6.7,17.6)",14:20:45,TEMPERATURA (°C),34.5
"CK:1 (6.7,17.6)",14:20:45,HUMEDAD (%),28.19
"CK:1 (6.7,17.6)",14:20:45,IRRADIANCIA (W/M2),473.81
"CK:1 (6.7,17.6)",14:20:45,eCO2 (PPM),400
"CK:1 (6.7,17.6)",14:20:45,TVOC (PPB),7
"CK:1 (6.7,17.6)",14:20:55,CO2 (PPM),453
"CK:1 (6.7,17.6)",14:20:55,TEMPERATURA (°C),34.46
"CK:1 (6.7,17.6)",14:20:55,HUMEDAD (%),28.41
"CK:1 (6.7,17.6)",14:20:55,IRRADIANCIA (W/M2),288.28
"CK:1 (6.7,17.6)",14:20:55,eCO2 (PPM),400
"CK:1 (6.7,17.6)",14:20:55,TVOC (PPB),13
"CK:2 (14.9,14.6)",14:21:51,CO2 (PPM),467
"CK:2 (14.9,14.6)",14:21:51,TEMPERATURA (°C),34.12
"CK:2 (14.9,14.6)",14:21:51,HUMEDAD (%),28.29
"CK:2 (14.9,14.6)",14:21:51,IRRADIANCIA (W/M2),284.86
"CK:2 (14.9,14.6)",14:21:51,eCO2 (PPM),400
"CK:2 (14.9,14.6)",14:21:51,TVOC (PPB),0
"CK:2 (14.9,14.6)",14:22:01,CO2 (PPM),455
"CK:2 (14.9,14.6)",14:22:01,TEMPERATURA (°C),34.12
"CK:2 (14.9,14.6)",14:22:01,HUMEDAD (%),28.49
"CK:2 (14.9,14.6)",14:22:01,IRRADIANCIA (W/M2),283.91
"CK:2 (14.9,14.6)",14:22:01,eCO2 (PPM),400
"CK:2 (14.9,14.6)",14:22:01,TVOC (PPB),0
"CK:2 (14.9,14.6)",14:22:11,CO2 (PPM),448
"CK:2 (14.9,14.6)",14:22:11,TEMPERATURA (°C),34.04
"CK:2 (14.9,14.6)",14:22:11,HUMEDAD (%),28.18
"CK:2 (14.9,14.6)",14:22:11,IRRADIANCIA (W/M2),283.15
"CK:2 (14.9,14.6)",14:22:11,eCO2 (PPM),400
"CK:2 (14.9,14.6)",14:22:11,TVOC (PPB),0
"CK:3 (16.4,0.2)",14:23:01,CO2 (PPM),459
"CK:3 (16.4,0.2)",14:23:01,TEMPERATURA (°C),33.58
"CK:3 (16.4,0.2)",14:23:01,HUMEDAD (%),28
"CK:3 (16.4,0.2)",14:23:01,IRRADIANCIA (W/M2),269.48
"CK:3 (16.4,0.2)",14:23:01,eCO2 (PPM),400
"CK:3 (16.4,0.2)",14:23:01,TVOC (PPB),0
"CK:3 (16.4,0.2)",14:23:11,CO2 (PPM),461
"CK:3 (16.4,0.2)",14:23:11,TEMPERATURA (°C),33.55
"CK:3 (16.4,0.2)",14:23:11,HUMEDAD (%),28
"CK:3 (16.4,0.2)",14:23:11,IRRADIANCIA (W/M2),270.62
"CK:3 (16.4,0.2)",14:23:11,eCO2 (PPM),400
"CK:3 (16.4,0.2)",14:23:11,TVOC (PPB),0
"CK:3 (16.4,0.2)",14:23:22,CO2 (PPM),453
"CK:3 (16.4,0.2)",14:23:22,TEMPERATURA (°C),33.55
"CK:3 (16.4,0.2)",14:23:22,HUMEDAD (%),28.1
"CK:3 (16.4,0.2)",14:23:22,IRRADIANCIA (W/M2),272.52
"CK:3 (16.4,0.2)",14:23:22,eCO2 (PPM),400
"CK:3 (16.4,0.2)",14:23:22,TVOC (PPB),0
