Robot: 1
Comentarios: 
"xmin, xmax, ymin, ymax","(0,47,0,39)"
========================
Checkpoint,Hora,Sensor,Valor
"CK:1 (6.8,2.0)",16:23:12,CO2 (PPM),398.0
"CK:1 (6.8,2.0)",16:23:12,TEMPERATURA (°C),29.9
"CK:1 (6.8,2.0)",16:23:12,HUMEDAD (%),29.76
"CK:1 (6.8,2.0)",16:23:12,IRRADIANCIA (W/M2),767.4
"CK:1 (6.8,2.0)",16:23:12,eCO2 (PPM),576.0
"CK:1 (6.8,2.0)",16:23:12,TVOC (PPB),146.0
"CK:1 (6.8,2.0)",16:23:23,CO2 (PPM),398.0
"CK:1 (6.8,2.0)",16:23:23,TEMPERATURA (°C),29.88
"CK:1 (6.8,2.0)",16:23:23,HUMEDAD (%),29.59
"CK:1 (6.8,2.0)",16:23:23,IRRADIANCIA (W/M2),767.4
"CK:1 (6.8,2.0)",16:23:23,eCO2 (PPM),568.0
"CK:1 (6.8,2.0)",16:23:23,TVOC (PPB),154.0
"CK:1 (6.8,2.0)",16:23:39,CO2 (PPM),398.0
"CK:1 (6.8,2.0)",16:23:39,TEMPERATURA (°C),29.91
"CK:1 (6.8,2.0)",16:23:39,HUMEDAD (%),29.49
"CK:1 (6.8,2.0)",16:23:39,IRRADIANCIA (W/M2),767.4
"CK:1 (6.8,2.0)",16:23:39,eCO2 (PPM),542.0
"CK:1 (6.8,2.0)",16:23:39,TVOC (PPB),135.0
"CK:2 (10.9,6.3)",16:24:43,CO2 (PPM),399.0
"CK:2 (10.9,6.3)",16:24:43,TEMPERATURA (°C),29.97
"CK:2 (10.9,6.3)",16:24:43,HUMEDAD (%),28.8
"CK:2 (10.9,6.3)",16:24:43,IRRADIANCIA (W/M2),767.4
"CK:2 (10.9,6.3)",16:24:43,eCO2 (PPM),518.0
"CK:2 (10.9,6.3)",16:24:43,TVOC (PPB),108.0
"CK:2 (10.9,6.3)",16:24:54,CO2 (PPM),398.0
"CK:2 (10.9,6.3)",16:24:54,TEMPERATURA (°C),30.0
"CK:2 (10.9,6.3)",16:24:54,HUMEDAD (%),28.98
"CK:2 (10.9,6.3)",16:24:54,IRRADIANCIA (W/M2),767.4
"CK:2 (10.9,6.3)",16:24:54,eCO2 (PPM),532.0
"CK:2 (10.9,6.3)",16:24:54,TVOC (PPB),124.0
"CK:2 (10.9,6.3)",16:25:36,CO2 (PPM),395.0
"CK:2 (10.9,6.3)",16:25:36,TEMPERATURA (°C),30.14
"CK:2 (10.9,6.3)",16:25:36,HUMEDAD (%),29.6
"CK:2 (10.9,6.3)",16:25:36,IRRADIANCIA (W/M2),767.4
"CK:2 (10.9,6.3)",16:25:36,eCO2 (PPM),572.0
"CK:2 (10.9,6.3)",16:25:36,TVOC (PPB),159.0
"CK:3 (15.3,4.0)",16:25:59,CO2 (PPM),394.0
"CK:3 (15.3,4.0)",16:25:59,TEMPERATURA (°C),30.2
"CK:3 (15.3,4.0)",16:25:59,HUMEDAD (%),28.95
"CK:3 (15.3,4.0)",16:25:59,IRRADIANCIA (W/M2),767.4
"CK:3 (15.3,4.0)",16:25:59,eCO2 (PPM),561.0
"CK:3 (15.3,4.0)",16:25:59,TVOC (PPB),156.0
"CK:3 (15.3,4.0)",16:26:09,CO2 (PPM),394.0
"CK:3 (15.3,4.0)",16:26:09,TEMPERATURA (°C),30.22
"CK:3 (15.3,4.0)",16:26:09,HUMEDAD (%),28.97
"CK:3 (15.3,4.0)",16:26:09,IRRADIANCIA (W/M2),767.4
"CK:3 (15.3,4.0)",16:26:09,eCO2 (PPM),543.0
"CK:3 (15.3,4.0)",16:26:09,TVOC (PPB),147.0
"CK:3 (15.3,4.0)",16:26:19,CO2 (PPM),394.0
"CK:3 (15.3,4.0)",16:26:19,TEMPERATURA (°C),30.27
"CK:3 (15.3,4.0)",16:26:19,HUMEDAD (%),29.12
"CK:3 (15.3,4.0)",16:26:19,IRRADIANCIA (W/M2),767.4
"CK:3 (15.3,4.0)",16:26:19,eCO2 (PPM),570.0
"CK:3 (15.3,4.0)",16:26:19,TVOC (PPB),153.0
