Robot: 1,,,
Comentarios: ,,,
"xmin, xmax, ymin, ymax","(-5,26,-5,26)",,
========================,,,
Checkpoint,Hora,Sensor,Valor
"CK:1 (6.0,1.7)",18:58:47,CO2 (PPM),84
"CK:1 (6.0,1.7)",18:58:47,TEMPERATURA (°C),22.84
"CK:1 (6.0,1.7)",18:58:47,HUMEDAD (%),52.22
"CK:1 (6.0,1.7)",18:58:47,IRRADIANCIA (W/M2),0
"CK:1 (6.0,1.7)",18:58:47,eCO2 (PPM),554
"CK:1 (6.0,1.7)",18:58:47,TVOC (PPB),0
"CK:1 (6.0,1.7)",18:59:04,CO2 (PPM),84
"CK:1 (6.0,1.7)",18:59:04,TEMPERATURA (°C),22.84
"CK:1 (6.0,1.7)",18:59:04,HUMEDAD (%),52.11
"CK:1 (6.0,1.7)",18:59:04,IRRADIANCIA (W/M2),0
"CK:1 (6.0,1.7)",18:59:04,eCO2 (PPM),538
"CK:1 (6.0,1.7)",18:59:04,TVOC (PPB),0
"CK:1 (6.0,1.7)",18:59:14,CO2 (PPM),84
"CK:1 (6.0,1.7)",18:59:14,TEMPERATURA (°C),22.82
"CK:1 (6.0,1.7)",18:59:14,HUMEDAD (%),52.11
"CK:1 (6.0,1.7)",18:59:14,IRRADIANCIA (W/M2),0
"CK:1 (6.0,1.7)",18:59:14,eCO2 (PPM),539
"CK:1 (6.0,1.7)",18:59:14,TVOC (PPB),0
"CK:2 (14.2,0.0)",18:59:38,CO2 (PPM),83
"CK:2 (14.2,0.0)",18:59:38,TEMPERATURA (°C),22.73
"CK:2 (14.2,0.0)",18:59:38,HUMEDAD (%),52.51
"CK:2 (14.2,0.0)",18:59:38,IRRADIANCIA (W/M2),0
"CK:2 (14.2,0.0)",18:59:38,eCO2 (PPM),538
"CK:2 (14.2,0.0)",18:59:38,TVOC (PPB),0
"CK:2 (14.2,0.0)",18:59:48,CO2 (PPM),82
"CK:2 (14.2,0.0)",18:59:48,TEMPERATURA (°C),22.74
"CK:2 (14.2,0.0)",18:59:48,HUMEDAD (%),52.37
"CK:2 (14.2,0.0)",18:59:48,IRRADIANCIA (W/M2),0
"CK:2 (14.2,0.0)",18:59:48,eCO2 (PPM),532
"CK:2 (14.2,0.0)",18:59:48,TVOC (PPB),0
"CK:2 (14.2,0.0)",19:00:05,CO2 (PPM),82
"CK:2 (14.2,0.0)",19:00:05,TEMPERATURA (°C),22.73
"CK:2 (14.2,0.0)",19:00:05,HUMEDAD (%),52.37
"CK:2 (14.2,0.0)",19:00:05,IRRADIANCIA (W/M2),0
"CK:2 (14.2,0.0)",19:00:05,eCO2 (PPM),531
"CK:2 (14.2,0.0)",19:00:05,TVOC (PPB),0
"CK:3 (17.8,4.2)",19:01:15,CO2 (PPM),78
"CK:3 (17.8,4.2)",19:01:15,TEMPERATURA (°C),22.67
"CK:3 (17.8,4.2)",19:01:15,HUMEDAD (%),52.64
"CK:3 (17.8,4.2)",19:01:15,IRRADIANCIA (W/M2),0
"CK:3 (17.8,4.2)",19:01:15,eCO2 (PPM),544
"CK:3 (17.8,4.2)",19:01:15,TVOC (PPB),0
"CK:3 (17.8,4.2)",19:01:25,CO2 (PPM),79
"CK:3 (17.8,4.2)",19:01:25,TEMPERATURA (°C),22.64
"CK:3 (17.8,4.2)",19:01:25,HUMEDAD (%),52.6
"CK:3 (17.8,4.2)",19:01:25,IRRADIANCIA (W/M2),0
"CK:3 (17.8,4.2)",19:01:25,eCO2 (PPM),545
"CK:3 (17.8,4.2)",19:01:25,TVOC (PPB),0
"CK:3 (17.8,4.2)",19:01:35,CO2 (PPM),80
"CK:3 (17.8,4.2)",19:01:35,TEMPERATURA (°C),22.64
"CK:3 (17.8,4.2)",19:01:35,HUMEDAD (%),52.52
"CK:3 (17.8,4.2)",19:01:35,IRRADIANCIA (W/M2),0
"CK:3 (17.8,4.2)",19:01:35,eCO2 (PPM),543
"CK:3 (17.8,4.2)",19:01:35,TVOC (PPB),0
