Robot: 2,,,
Comentarios: ,,,
"xmin, xmax, ymin, ymax","(0,47.5,0,39.01)",,
========================,,,
Checkpoint,Hora,Sensor,Valor
"CK:1 (5.7,21.3)",19:52:04,CO2 (PPM),518
"CK:1 (5.7,21.3)",19:52:04,TEMPERATURA (°C),22.69
"CK:1 (5.7,21.3)",19:52:04,HUMEDAD (%),52.91
"CK:1 (5.7,21.3)",19:52:04,IRRADIANCIA (W/M2),0
"CK:1 (5.7,21.3)",19:52:04,eCO2 (PPM),487
"CK:1 (5.7,21.3)",19:52:04,TVOC (PPB),0
"CK:1 (5.7,21.3)",19:52:14,CO2 (PPM),516
"CK:1 (5.7,21.3)",19:52:14,TEMPERATURA (°C),22.68
"CK:1 (5.7,21.3)",19:52:14,HUMEDAD (%),53.1
"CK:1 (5.7,21.3)",19:52:14,IRRADIANCIA (W/M2),0
"CK:1 (5.7,21.3)",19:52:14,eCO2 (PPM),486
"CK:1 (5.7,21.3)",19:52:14,TVOC (PPB),0
"CK:1 (5.7,21.3)",19:52:24,CO2 (PPM),514
"CK:1 (5.7,21.3)",19:52:24,TEMPERATURA (°C),22.65
"CK:1 (5.7,21.3)",19:52:24,HUMEDAD (%),53.14
"CK:1 (5.7,21.3)",19:52:24,IRRADIANCIA (W/M2),0
"CK:1 (5.7,21.3)",19:52:24,eCO2 (PPM),496
"CK:1 (5.7,21.3)",19:52:24,TVOC (PPB),0
"CK:2 (11.2,14.5)",19:53:07,CO2 (PPM),507
"CK:2 (11.2,14.5)",19:53:07,TEMPERATURA (°C),22.54
"CK:2 (11.2,14.5)",19:53:07,HUMEDAD (%),52.39
"CK:2 (11.2,14.5)",19:53:07,IRRADIANCIA (W/M2),0
"CK:2 (11.2,14.5)",19:53:07,eCO2 (PPM),477
"CK:2 (11.2,14.5)",19:53:07,TVOC (PPB),0
"CK:2 (11.2,14.5)",19:53:17,CO2 (PPM),505
"CK:2 (11.2,14.5)",19:53:17,TEMPERATURA (°C),22.52
"CK:2 (11.2,14.5)",19:53:17,HUMEDAD (%),52.41
"CK:2 (11.2,14.5)",19:53:17,IRRADIANCIA (W/M2),0
"CK:2 (11.2,14.5)",19:53:17,eCO2 (PPM),465
"CK:2 (11.2,14.5)",19:53:17,TVOC (PPB),0
"CK:2 (11.2,14.5)",19:53:27,CO2 (PPM),503
"CK:2 (11.2,14.5)",19:53:27,TEMPERATURA (°C),22.54
"CK:2 (11.2,14.5)",19:53:27,HUMEDAD (%),52.53
"CK:2 (11.2,14.5)",19:53:27,IRRADIANCIA (W/M2),0
"CK:2 (11.2,14.5)",19:53:27,eCO2 (PPM),468
"CK:2 (11.2,14.5)",19:53:27,TVOC (PPB),0
"CK:3 (19.2,22.3)",19:54:10,CO2 (PPM),501
"CK:3 (19.2,22.3)",19:54:10,TEMPERATURA (°C),22.44
"CK:3 (19.2,22.3)",19:54:10,HUMEDAD (%),52.69
"CK:3 (19.2,22.3)",19:54:10,IRRADIANCIA (W/M2),0
"CK:3 (19.2,22.3)",19:54:10,eCO2 (PPM),486
"CK:3 (19.2,22.3)",19:54:10,TVOC (PPB),0
"CK:3 (19.2,22.3)",19:54:20,CO2 (PPM),501
"CK:3 (19.2,22.3)",19:54:20,TEMPERATURA (°C),22.45
"CK:3 (19.2,22.3)",19:54:20,HUMEDAD (%),52.77
"CK:3 (19.2,22.3)",19:54:20,IRRADIANCIA (W/M2),0
"CK:3 (19.2,22.3)",19:54:20,eCO2 (PPM),489
"CK:3 (19.2,22.3)",19:54:20,TVOC (PPB),0
"CK:3 (19.2,22.3)",19:54:30,CO2 (PPM),500
"CK:3 (19.2,22.3)",19:54:30,TEMPERATURA (°C),22.46
"CK:3 (19.2,22.3)",19:54:30,HUMEDAD (%),52.8
"CK:3 (19.2,22.3)",19:54:30,IRRADIANCIA (W/M2),0
"CK:3 (19.2,22.3)",19:54:30,eCO2 (PPM),483
"CK:3 (19.2,22.3)",19:54:30,TVOC (PPB),0
