Robot: 1
Comentarios: 
"xmin, xmax, ymin, ymax","(0,47.5,0,39.00000000000001)"
========================
Checkpoint,Hora,Sensor,Valor
"CK:1 (6.0,1.7)",19:51:41,CO2 (PPM),94.0
"CK:1 (6.0,1.7)",19:51:41,TEMPERATURA (°C),23.15
"CK:1 (6.0,1.7)",19:51:41,HUMEDAD (%),51.73
"CK:1 (6.0,1.7)",19:51:41,IRRADIANCIA (W/M2),0.0
"CK:1 (6.0,1.7)",19:51:41,eCO2 (PPM),517.0
"CK:1 (6.0,1.7)",19:51:41,TVOC (PPB),0.0
"CK:1 (6.0,1.7)",19:51:51,CO2 (PPM),95.0
"CK:1 (6.0,1.7)",19:51:51,TEMPERATURA (°C),23.14
"CK:1 (6.0,1.7)",19:51:51,HUMEDAD (%),51.77
"CK:1 (6.0,1.7)",19:51:51,IRRADIANCIA (W/M2),0.0
"CK:1 (6.0,1.7)",19:51:51,eCO2 (PPM),526.0
"CK:1 (6.0,1.7)",19:51:51,TVOC (PPB),0.0
"CK:1 (6.0,1.7)",19:52:01,CO2 (PPM),94.0
"CK:1 (6.0,1.7)",19:52:01,TEMPERATURA (°C),23.13
"CK:1 (6.0,1.7)",19:52:01,HUMEDAD (%),51.82
"CK:1 (6.0,1.7)",19:52:01,IRRADIANCIA (W/M2),0.0
"CK:1 (6.0,1.7)",19:52:01,eCO2 (PPM),530.0
"CK:1 (6.0,1.7)",19:52:01,TVOC (PPB),0.0
"CK:2 (10.44,1.04)",19:52:44,CO2 (PPM),93.0
"CK:2 (10.44,1.04)",19:52:44,TEMPERATURA (°C),23.04
"CK:2 (10.44,1.04)",19:52:44,HUMEDAD (%),51.89
"CK:2 (10.44,1.04)",19:52:44,IRRADIANCIA (W/M2),0.0
"CK:2 (10.44,1.04)",19:52:44,eCO2 (PPM),546.0
"CK:2 (10.44,1.04)",19:52:44,TVOC (PPB),0.0
"CK:2 (10.44,1.04)",19:52:54,CO2 (PPM),93.0
"CK:2 (10.44,1.04)",19:52:54,TEMPERATURA (°C),23.03
"CK:2 (10.44,1.04)",19:52:54,HUMEDAD (%),51.93
"CK:2 (10.44,1.04)",19:52:54,IRRADIANCIA (W/M2),0.0
"CK:2 (10.44,1.04)",19:52:54,eCO2 (PPM),553.0
"CK:2 (10.44,1.04)",19:52:54,TVOC (PPB),0.0
"CK:2 (10.44,1.04)",19:53:04,CO2 (PPM),92.0
"CK:2 (10.44,1.04)",19:53:04,TEMPERATURA (°C),23.01
"CK:2 (10.44,1.04)",19:53:04,HUMEDAD (%),51.88
"CK:2 (10.44,1.04)",19:53:04,IRRADIANCIA (W/M2),0.0
"CK:2 (10.44,1.04)",19:53:04,eCO2 (PPM),538.0
"CK:2 (10.44,1.04)",19:53:04,TVOC (PPB),0.0
"CK:3 (10.44,1.02)",19:53:46,CO2 (PPM),93.0
"CK:3 (10.44,1.02)",19:53:46,TEMPERATURA (°C),22.98
"CK:3 (10.44,1.02)",19:53:46,HUMEDAD (%),51.23
"CK:3 (10.44,1.02)",19:53:46,IRRADIANCIA (W/M2),0.0
"CK:3 (10.44,1.02)",19:53:46,eCO2 (PPM),506.0
"CK:3 (10.44,1.02)",19:53:46,TVOC (PPB),0.0
"CK:3 (10.44,1.02)",19:53:56,CO2 (PPM),94.0
"CK:3 (10.44,1.02)",19:53:56,TEMPERATURA (°C),22.98
"CK:3 (10.44,1.02)",19:53:56,HUMEDAD (%),51.28
"CK:3 (10.44,1.02)",19:53:56,IRRADIANCIA (W/M2),0.0
"CK:3 (10.44,1.02)",19:53:56,eCO2 (PPM),496.0
"CK:3 (10.44,1.02)",19:53:56,TVOC (PPB),0.0
"CK:3 (10.44,1.02)",19:54:06,CO2 (PPM),94.0
"CK:3 (10.44,1.02)",19:54:06,TEMPERATURA (°C),22.98
"CK:3 (10.44,1.02)",19:54:06,HUMEDAD (%),51.22
"CK:3 (10.44,1.02)",19:54:06,IRRADIANCIA (W/M2),0.0
"CK:3 (10.44,1.02)",19:54:06,eCO2 (PPM),499.0
"CK:3 (10.44,1.02)",19:54:06,TVOC (PPB),0.0
